query_name,num_records,time
Query 1,4,6.905243158
Query 2,100,0.621519089
Query 3,10,3.74878931
Query 4,5,5.167619944
Query 5,5,6.538997889
Query 6,1,2.484442949
Query 7,4,10.13257432
Query 8,2,18.30485415
Query 9,175,49.41475916
Query 10,20,3.408720255
Query 11,1048,1.677204847
Query 12,2,2.809915066
Query 13,42,34.30579233
Query 14,1,2.947843552
Query 15,1,5.194713116
Query 16,18314,0.740776062
Query 17,1,9114.950258
Query 18,57,2.78445673
Query 19,1,3.831365585
Query 20,186,12680.67936
Query 21,100,15.27744794
Query 22,7,2244.361527
